price,brand,model,year,title_status,mileage,color,vin,lot,state,country
30000,buick,door,2017,clean vehicle,17940.0,green,  5gakvckd5hj216221,167779277,illinois, usa
24402,ford,flex,2019,clean vehicle,17417.0,gray,  2fmhk6c88kba19846,167763734,michigan, usa
14300,kia,door,2017,clean vehicle,37125.0,no_color,  5xypgda39hg262132,167119105,connecticut, usa
20700,bmw,x3,2017,clean vehicle,61428.0,black,  5uxwx9c51h0t09021,167779278,wisconsin, usa
24211,ford,flex,2019,clean vehicle,17025.0,black,  2fmhk6c85kba19710,167763742,michigan, usa
16500,kia,sorento,2017,clean vehicle,37668.0,red,  5xypgda59hg292944,167119106,connecticut, usa
19111,ford,fusion,2019,clean vehicle,15805.0,black,  3fa6p0ruxkr244131,167763743,michigan, usa
22500,kia,sorento,2017,clean vehicle,43761.0,gray,  5xypkda50hg299327,167119107,connecticut, usa
26511,ford,mustang,2019,clean vehicle,11342.0,gray,  1fatp8uh4k5177265,167763745,michigan, usa
18700,chevrolet,equinox,2017,clean vehicle,35664.0,blue,  2gnaldek2h1500410,167779284,wisconsin, usa
29000,chevrolet,cutaway,2017,clean vehicle,12780.0,white,  1gb3gtcgxh1118909,167779684,illinois, usa
15000,chevrolet,door,2017,clean vehicle,38458.0,blue,  1g1ze5st9hf229260,167779685,wisconsin, usa
22700,chevrolet,door,2017,clean vehicle,34420.0,silver,  1gnkvgkd4hj314704,167779686,wisconsin, usa
14500,chevrolet,door,2017,clean vehicle,46497.0,white,  1g1ze5stxhf257679,167779687,wisconsin, usa
36500,chevrolet,1500,2017,clean vehicle,21268.0,no_color,  3gcuksec0hg271643,167779691,wisconsin, usa
30500,chevrolet,1500,2017,clean vehicle,31029.0,red,  3gcukrec7hg170656,167779692,wisconsin, usa
26300,chevrolet,1500,2017,clean vehicle,40878.0,no_color,  1gcvkrec8hz169908,167779698,wisconsin, usa
22500,chevrolet,1500,2016,clean vehicle,20270.0,silver,  3gcuknec9gg224336,167780069,new jersey, usa
26900,chevrolet,door,2016,clean vehicle,32984.0,blue,  1gcvkrec8gz393856,167780133,wisconsin, usa
