price,brand,model,year,title_status,mileage,color,vin,lot,state,country,condition
19990,ford,doors,2016,clean vehicle,23796.0,black,  1fa6p8th6g5218050,167653386,connecticut, usa,11 days left
34400,ford,max,2019,clean vehicle,42506.0,gray,  1fmjk1ht4kea17579,167801395,florida, usa,2 days left
30999,ford,doors,2016,clean vehicle,6249.0,shadow black,  1fa6p8cf1g5209884,167653387,connecticut, usa,11 days left
41000,ford,expedition,2019,clean vehicle,47496.0,black,  1fmju1kt8kea27843,167801396,florida, usa,2 days left
27999,ford,doors,2016,clean vehicle,10700.0,gray,  1fa6p8cf8g5263621,167653388,massachusetts, usa,11 days left
42000,ford,expedition,2019,clean vehicle,39604.0,black,  1fmju1kt7kea17627,167801398,florida, usa,2 days left
8000,ford,cutaway,2013,salvage insurance,250831.0,color:,  1fdfe4fs4dda28874,167530369,new jersey, usa,16 hours left
29795,ford,doors,2016,clean vehicle,7275.0,triple yellow tri-coat,  1fa6p8cf2g5223518,167653389,connecticut, usa,11 days left
24700,ford,edge,2019,clean vehicle,8806.0,black,  2fmpk4j94kbc24835,167801399,florida, usa,4 hours left
13995,ford,doors,2016,clean vehicle,105115.0,gray,  1fa6p8th8g5255908,167653390,new jersey, usa,11 days left
2900,ford,door,2015,clean vehicle,57340.0,silver,  3fadp4aj6fm132638,167736495,florida, usa,2 days left
35400,ford,max,2019,clean vehicle,36167.0,white,  1fmjk1ht1kea42603,167801400,florida, usa,2 days left
24549,ford,doors,2016,clean vehicle,44941.0,shadow black,  1fatp8ffxg5291869,167653391,new york, usa,11 days left
8900,ford,door,2014,clean vehicle,53102.0,silver,  1fmcu0gx4eub39564,167736849,florida, usa,1 days left
15800,ford,escape,2019,clean vehicle,26637.0,black,  1fmcu0gd4kub08736,167801402,florida, usa,2 days left
18500,ford,doors,2016,clean vehicle,45814.0,black,  1fa6p8thxg5208671,167653515,new york, usa,11 days left
32000,ford,f-150,2019,clean vehicle,17310.0,red,  1ftfw1e55kkd19095,167615279,minnesota, usa,14 hours left
28300,ford,explorer,2019,clean vehicle,24116.0,gray,  1fm5k7f82kgb41597,167801403,florida, usa,2 days left
10500,ford,d,2019,salvage insurance,14128.0,blue,  maj3s2ge4kc278721,167534773,florida, usa,15 hours left
24970,ford,doors,2016,clean vehicle,49882.0,green,  1fa6p8cf8g5225189,167653516,new york, usa,11 days left
13800,ford,fusion,2019,clean vehicle,38964.0,blue,  3fa6p0luxkr109398,167615280,minnesota, usa,14 hours left
2580,ford,door,2012,clean vehicle,102705.0,white,  3fahp0ga5cr113207,167737580,florida, usa,24 hours left
59975,ford,f-150,2019,clean vehicle,71.0,white,  1ftfw1rg5kfa62833,167801448,florida, usa,Listing Expired
2500,ford,door,2012,salvage insurance,98620.0,white,  1fahp3j23cl241544,167543164,indiana, usa,15 hours left
28990,ford,doors,2016,clean vehicle,15825.0,triple yellow tri-coat,  1fatp8ff0g5296868,167653517,massachusetts, usa,11 days left
50000,ford,max,2019,clean vehicle,29499.0,blue,  1fmjk2at1kea40396,167615281,minnesota, usa,14 hours left
33800,ford,door,2014,clean vehicle,100255.0,white,  1ft7w2bt0eea41481,167737916,kentucky, usa,21 hours left
59975,ford,f-150,2019,clean vehicle,174.0,black,  1ftfw1rg6kfc08396,167801451,florida, usa,Listing Expired
2500,ford,door,2013,salvage insurance,167552.0,gray,  1fmcu9gx5dub47157,167547103,minnesota, usa,16 hours left
46999,ford,doors,2016,clean vehicle,16956.0,magnetic metallic,  1fa6p8jz6g5525309,167653518,new jersey, usa,11 days left
16700,ford,fusion,2019,clean vehicle,36896.0,black,  3fa6p0ru2kr118068,167615282,minnesota, usa,14 hours left
34700,ford,door,2013,clean vehicle,77281.0,white,  1ft7w2btxdea14898,167738075,kentucky, usa,21 hours left
28900,ford,f-150,2019,clean vehicle,24795.0,black,  1ftew1e59kfc47399,167801453,florida, usa,1 days left
30800,ford,doors,2016,clean vehicle,16771.0,ruby red metallic tinted clearcoat,  1fa6p8cf0g5204627,167653519,new jersey, usa,11 days left
27100,ford,f-150,2019,clean vehicle,28692.0,silver,  1ftew1e54kkc88465,167615283,minnesota, usa,14 hours left
13388,ford,door,2012,clean vehicle,113821.0,black,  1ftfw1cf3cfc75961,167738390,louisiana, usa,1 days left
26000,ford,f-150,2019,clean vehicle,19793.0,blue,  1ftew1eb6kfb83943,167801455,florida, usa,2 days left
17900,ford,doors,2016,clean vehicle,27940.0,shadow black,  1fa6p8am3g5250504,167653520,massachusetts, usa,11 days left
23400,ford,flex,2019,clean vehicle,24987.0,black,  2fmhk6d8xkba20365,167615285,minnesota, usa,14 hours left
29800,ford,mustang,2016,clean vehicle,18367.0,blue,  1fa6p8cf3g5242238,167738456,illinois, usa,21 hours left
23700,ford,flex,2019,clean vehicle,14109.0,gray,  2fmhk6d88kba29775,167801457,florida, usa,1 days left
1725,ford,door,2012,salvage insurance,158781.0,black,  1fmcu9eg7ckb88497,167548257,illinois, usa,16 hours left
33995,ford,doors,2016,clean vehicle,27369.0,black,  1fa6p8cf5g5235498,167653521,new jersey, usa,11 days left
23500,ford,flex,2019,clean vehicle,30208.0,white,  2fmhk6d86kba05247,167615287,minnesota, usa,14 hours left
32500,ford,explorer,2019,clean vehicle,24024.0,black,  1fm5k8gt5kgb41683,167801459,florida, usa,2 days left
2500,ford,door,2016,salvage insurance,64999.0,blue,  3fadp4bjxgm137986,167552003,mississippi, usa,16 hours left
39000,ford,f-150,2019,clean vehicle,8404.0,black,  1ftfw1e54kfc34435,167615288,minnesota, usa,14 hours left
11000,ford,focus,2018,clean vehicle,8884.0,gray,  1fadp3e23jl254221,167739185,massachusetts, usa,6 days left
32500,ford,explorer,2019,clean vehicle,24126.0,black,  1fm5k8gt2kgb41298,167801468,florida, usa,2 days left
800,ford,door,2012,salvage insurance,129659.0,black,  3fadp4bj5cm221076,167552004,mississippi, usa,16 hours left
26900,ford,f-150,2019,clean vehicle,31713.0,black,  1ftew1e59kkc89708,167615289,minnesota, usa,14 hours left
11200,ford,edge,2016,clean vehicle,109996.0,gray,  2fmpk4j97gbb67005,167801478,new york, usa,18 hours left
21000,ford,doors,2018,clean vehicle,6821.0,red,  1fa6p8thxj5164792,167654211,new york, usa,11 days left
32000,ford,f-150,2019,clean vehicle,17867.0,red,  1ftfw1e5xkfb51429,167615291,minnesota, usa,14 hours left
7300,ford,door,2016,clean vehicle,110253.0,black,  3fa6p0g72gr397705,167801481,connecticut, usa,18 hours left
12800,ford,escape,2018,clean vehicle,39364.0,black,  1fmcu0gd3jub60681,167552309,missouri, usa,9 days left
24190,ford,doors,2018,clean vehicle,4018.0,blue,  1fatp8uh7j5182314,167654212,massachusetts, usa,11 days left
29100,ford,f-150,2019,clean vehicle,21054.0,red,  1ftew1e49kfc10392,167615292,minnesota, usa,14 hours left
29000,ford,door,2017,clean vehicle,48309.0,red,  1ft7w2b60hee77178,167740589,massachusetts, usa,6 days left
17300,ford,door,2016,clean vehicle,68666.0,black,  1fm5k8d82ggc60329,167801490,new york, usa,18 hours left
19888,ford,doors,2018,clean vehicle,34071.0,ingot silver metallic,  1fatp8uh2j5132890,167654213,new jersey, usa,11 days left
31000,ford,f-150,2019,clean vehicle,13600.0,white,  1ftfw1e50kfb96721,167615294,minnesota, usa,14 hours left
37200,ford,door,2017,clean vehicle,44956.0,black,  1ft7w2bt4hee52015,167740592,massachusetts, usa,2 days left
8600,ford,door,2016,clean vehicle,72607.0,silver,  1fmcu0f77gub25484,167801492,new jersey, usa,18 hours left
24857,ford,doors,2018,clean vehicle,33815.0,shadow black,  1fatp8uh3j5157023,167654214,massachusetts, usa,11 days left
23500,ford,flex,2019,clean vehicle,31491.0,gray,  2fmhk6d85kba09063,167615296,minnesota, usa,14 hours left
26100,ford,f-150,2018,clean vehicle,32149.0,white,  1ftew1cb3jfc81295,167741409,mississippi, usa,21 hours left
10800,ford,hybrid,2016,clean vehicle,26654.0,blue,  1fadp5au1gl114180,167801493,new york, usa,18 hours left
20995,ford,doors,2018,clean vehicle,36637.0,white,  1fa6p8th1j5167452,167654215,new york, usa,11 days left
29300,ford,f-150,2019,clean vehicle,17000.0,white,  1ftew1e4xkfc10403,167615298,minnesota, usa,14 hours left
33100,ford,f-150,2018,clean vehicle,15960.0,gray,  1ftew1ep2jfb83786,167741551,mississippi, usa,21 hours left
13800,ford,door,2016,clean vehicle,40774.0,gray,  1fahp2e84gg136518,167801747,new jersey, usa,18 hours left
19498,ford,doors,2018,clean vehicle,40338.0,black,  1fatp8uh1j5115336,167654216,new york, usa,11 days left
14900,ford,fusion,2019,clean vehicle,40505.0,gray,  3fa6p0cd0kr117056,167615300,minnesota, usa,14 hours left
8700,ford,door,2016,clean vehicle,30735.0,black,  1fadp3k28gl330142,167741697,massachusetts, usa,6 days left
20600,ford,mustang,2019,clean vehicle,33965.0,gray,  1fatp8uhxk5148658,167801788,florida, usa,2 days left
5000,ford,door,2018,salvage insurance,7339.0,white,  1ftex1c53jkd88586,167553971,oklahoma, usa,12 days left
19995,ford,doors,2018,clean vehicle,42470.0,white,  1fa6p8th8j5115591,167654217,new york, usa,11 days left
14900,ford,fusion,2019,clean vehicle,40670.0,silver,  3fa6p0cd1kr110357,167615301,minnesota, usa,14 hours left
19500,ford,door,2016,clean vehicle,41233.0,black,  1ftbf2b61ged08196,167741899,massachusetts, usa,6 days left
24500,ford,wagon,2019,clean vehicle,13162.0,white,  1fbzx2zm7kka48532,167801789,florida, usa,5 hours left
15000,ford,fusion,2018,clean vehicle,38744.0,white,  3fa6p0d97jr219835,167555170,california, usa,8 days left
26985,ford,doors,2018,clean vehicle,14023.0,black,  1fa6p8cf4j5145797,167654218,new york, usa,11 days left
31000,ford,f-150,2019,clean vehicle,9741.0,white,  1ftfw1e52kfb85249,167615302,minnesota, usa,14 hours left
